,ENANTEMA,PÓLIPO,ÚLCERA,EROSÃO,MICRONODULARIDADE
ENANTEMA,0.8185985525654997,0.015274860027813975,0.06779647733735894,0.016605920381559464,0.06017886693503957
PÓLIPO,0.015274860027813973,0.6588049235206211,0.1127435585384924,0.0,0.20186613125544078
ÚLCERA,0.06779647733735894,0.1127435585384924,0.6130831916309044,0.08490624958525994,0.14752860952288316
EROSÃO,0.016605920381559468,0.0,0.08490624958525994,0.8768852957130367,0.003642367847536713
MICRONODULARIDADE,0.06017886693503958,0.20186613125544078,0.14752860952288316,0.0036423678475367136,0.6051803400800027
