,ENANTEMA,PÓLIPO,ÚLCERA,EROSÃO,MICRONODULARIDADE
ENANTEMA,1.0,0.0208,0.0957,0.0196,0.0855
PÓLIPO,0.0208,1.0,0.1774,0.0,0.3197
ÚLCERA,0.0957,0.1774,1.0,0.1158,0.2422
EROSÃO,0.0196,0.0,0.1158,1.0,0.005
MICRONODULARIDADE,0.0855,0.3197,0.2422,0.005,1.0
