,ENANTEMA,PÓLIPO,ÚLCERA,EROSÃO,MICRONODULARIDADE
ENANTEMA,1.0,0.0,0.0,0.0,0.0
PÓLIPO,0.0,1.0,0.1774,0.0,0.3197
ÚLCERA,0.0,0.1774,1.0,0.1158,0.2422
EROSÃO,0.0,0.0,0.1158,1.0,0.0
MICRONODULARIDADE,0.0,0.3197,0.2422,0.0,1.0
