,ENANTEMA,PÓLIPO,ÚLCERA,EROSÃO,MICRONODULARIDADE
ENANTEMA,0.7861271614500986,0.016814706392121233,0.04232407076281746,0.13703872833017733,0.015854722374191055
PÓLIPO,0.06725882556848493,0.7391304293194709,0.061559180690399395,0.06932835093654577,0.06149400419749691
ÚLCERA,0.10659395599524397,0.03875948413839961,0.6585365810291495,0.19227916145368176,0.03654663043472052
EROSÃO,0.08549205070139504,0.010812678586433744,0.04762878311237989,0.8352490351691844,0.010195361911855591
MICRONODULARIDADE,0.09374966273434708,0.0909041801180389,0.085805132324996,0.09663429986019645,0.6571428528244897
