,ENANTEMA,PÓLIPO,ÚLCERA,EROSÃO,MICRONODULARIDADE
ENANTEMA,1.0,0.022058823529411766,0.058823529411764705,0.16911764705882354,0.022058823529411766
PÓLIPO,0.08823529411764706,1.0,0.08823529411764706,0.08823529411764706,0.08823529411764706
ÚLCERA,0.14814814814814814,0.05555555555555555,1.0,0.25925925925925924,0.05555555555555555
EROSÃO,0.10550458715596331,0.013761467889908258,0.06422018348623854,1.0,0.013761467889908258
MICRONODULARIDADE,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13043478260869565,1.0
