,ENANTEMA,PÓLIPO,ÚLCERA,EROSÃO,MICRONODULARIDADE
ENANTEMA,0.8055421233644103,0.015168052145317603,0.08093036919225202,0.016501924076602982,0.05975309589721979
PÓLIPO,0.015168052145317603,0.6601531511740615,0.11056181182970044,0.0,0.20226239982927455
ÚLCERA,0.08093036919225202,0.11056181182970044,0.6094959431371004,0.08187693913408356,0.14535003977139785
EROSÃO,0.016501924076602982,0.0,0.08187693913408355,0.8799718331575872,0.003652200058515267
MICRONODULARIDADE,0.05975309589721979,0.20226239982927455,0.14535003977139785,0.0036522000585152673,0.6063178281312203
