,ENANTEMA,PÓLIPO,ÚLCERA,EROSÃO,MICRONODULARIDADE
ENANTEMA,1.0,0.0,0.0,0.0,0.0
PÓLIPO,0.0,1.0,0.1191,0.0,0.251
ÚLCERA,0.0,0.1191,1.0,0.1118,0.1741
EROSÃO,0.0,0.0,0.1118,1.0,0.0
MICRONODULARIDADE,0.0,0.251,0.1741,0.0,1.0
