,ENANTEMA,PÓLIPO,ÚLCERA,EROSÃO,MICRONODULARIDADE
ENANTEMA,0.8140670725002682,0.015248101690917828,0.0653423019074818,0.02527595101553479,0.060068443453316876
PÓLIPO,0.015248101690917828,0.6601531511740615,0.11135877448470713,0.0,0.20226239982927455
ÚLCERA,0.0653423019074818,0.11135877448470712,0.6183144709187259,0.0820923456176745,0.14639776639313565
EROSÃO,0.025275951015534794,0.0,0.0820923456176745,0.8719916212766688,0.003635601965153403
MICRONODULARIDADE,0.06006844345331688,0.20226239982927455,0.14639776639313565,0.003635601965153403,0.6063178281312203
