,ENANTEMA,PÓLIPO,ÚLCERA,EROSÃO,MICRONODULARIDADE
ENANTEMA,1.0,0.0208,0.0921,0.03,0.0855
PÓLIPO,0.0208,1.0,0.1743,0.0,0.3197
ÚLCERA,0.0921,0.1743,1.0,0.1118,0.2391
EROSÃO,0.03,0.0,0.1118,1.0,0.005
MICRONODULARIDADE,0.0855,0.3197,0.2391,0.005,1.0
