,ENANTEMA,PÓLIPO,ÚLCERA,EROSÃO,MICRONODULARIDADE
ENANTEMA,1.0,0.022058823529411766,0.058823529411764705,0.17647058823529413,0.022058823529411766
PÓLIPO,0.08823529411764706,1.0,0.08823529411764706,0.08823529411764706,0.08823529411764706
ÚLCERA,0.14545454545454545,0.05454545454545454,1.0,0.2545454545454545,0.05454545454545454
EROSÃO,0.11009174311926606,0.013761467889908258,0.06422018348623854,1.0,0.013761467889908258
MICRONODULARIDADE,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13043478260869565,1.0
