,ENANTEMA,PÓLIPO,ÚLCERA,EROSÃO,MICRONODULARIDADE
ENANTEMA,0.7816091892931697,0.016766318647885074,0.04233389264049158,0.142313061349416,0.01580909717959728
PÓLIPO,0.0670652745915403,0.7391304293194709,0.06175116790723076,0.06919591843671109,0.06149400419749691
ÚLCERA,0.10468017089285189,0.038173449251742646,0.6626505980185805,0.1890102004282824,0.035994053410010156
EROSÃO,0.08878246029137879,0.010792023976367785,0.04768605974108043,0.8320610617790339,0.010175886513314204
MICRONODULARIDADE,0.09347987897500999,0.0909041801180389,0.08607273641524167,0.09644970695228244,0.6571428528244897
