,ENANTEMA,PÓLIPO,ÚLCERA,EROSÃO,MICRONODULARIDADE
ENANTEMA,1.0,0.0,0.0,0.0,0.0
PÓLIPO,0.0,1.0,0.1743,0.0,0.3197
ÚLCERA,0.0,0.1743,1.0,0.1118,0.2391
EROSÃO,0.0,0.0,0.1118,1.0,0.0
MICRONODULARIDADE,0.0,0.3197,0.2391,0.0,1.0
