,ENANTEMA,PÓLIPO,ÚLCERA,EROSÃO,MICRONODULARIDADE
ENANTEMA,0.7953216311015356,0.011799871995394957,0.04322761847178987,0.13836896353928882,0.01135777117284932
PÓLIPO,0.04719948798157983,0.8095238029705215,0.04361187152296683,0.04855615097761107,0.045834924494007286
ÚLCERA,0.10689011113024405,0.026960066032379493,0.6790123410684348,0.19243432594308532,0.02594996461997
EROSÃO,0.08632192220799668,0.007572977675407231,0.048549944618668316,0.8416988346142725,0.0072892441178971255
MICRONODULARIDADE,0.06436070331281281,0.06493280969984365,0.059468668920764585,0.06621063407089887,0.7499999943750002
