,ENANTEMA,PÓLIPO,ÚLCERA,EROSÃO,MICRONODULARIDADE
ENANTEMA,1.0,0.014705882352941176,0.058823529411764705,0.16911764705882354,0.014705882352941176
PÓLIPO,0.058823529411764705,1.0,0.058823529411764705,0.058823529411764705,0.058823529411764705
ÚLCERA,0.14545454545454545,0.03636363636363636,1.0,0.2545454545454545,0.03636363636363636
EROSÃO,0.10550458715596331,0.009174311926605505,0.06422018348623854,1.0,0.009174311926605505
MICRONODULARIDADE,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0
