,ENANTEMA,PÓLIPO,ÚLCERA,EROSÃO,MICRONODULARIDADE
ENANTEMA,1.0,0.5,1.0,0.5,0.5
PÓLIPO,0.5,1.0,0.5,0.0,0.5
ÚLCERA,1.0,0.5,1.0,1.0,0.0
EROSÃO,0.5,0.0,1.0,1.0,0.0
MICRONODULARIDADE,0.5,0.5,0.0,0.0,1.0
