,ENANTEMA,PÓLIPO,ÚLCERA,EROSÃO,MICRONODULARIDADE
ENANTEMA,0.7816091892931697,0.016766318647885074,0.04734129456644987,0.13664437146290573,0.01580909717959728
PÓLIPO,0.0670652745915403,0.7391304293194709,0.0613825009257184,0.06932835093654577,0.06149400419749691
ÚLCERA,0.11706211020067604,0.03794554602680773,0.6547619004747732,0.18824135390667598,0.03577916161973667
EROSÃO,0.08524602990346412,0.010812678586433744,0.047492084701225595,0.8352490351691844,0.010195361911855591
MICRONODULARIDADE,0.09347987897500999,0.0909041801180389,0.08555886474284856,0.09663429986019645,0.6571428528244897
